Price,Area,Address,Number of bedrooms,Number of bathrooms,Number of floors,Amenities,Street name,Ward name,District name,Number of frontages,Alley or main road,Listing ID
"6,8 Tỷ",71 m² (4.5mx 17m),"Bán nhà 3 Tầng đường Linh Trung, Linh Trung, Thủ Đức",4,3,3,"Nội thất đầy đủ, ban công sân phơi đồ, sân trước đậu ô tô, xe máy thoải mái",Linh Trung,Linh Trung,Thủ Đức,Not mentioned in the text,Hẻm nhựa ô tô quay đầu,277581
"5,95 Tỷ",58 m²,"P. Bình Thọ, TP. Thủ Đức",2,3,2,ban công thoáng mát,Võ Văn Ngân,Bình Thọ,Thủ Đức,4.5m,nhà trong hẻm,277580
3.8 tỷ,"48m2, 4 x 12m","Đường Lê Tấn Bê, An Lạc, BT",2,2,2,"Tiện ích xung quanh không thiếu gì, không lộ giới, không quy hoạch, không lỗi phong thủy, không ngập nước",Lê Tấn Bê,An Lạc,BT,7m,Hẻm,277573
Giá không được cung cấp trong nội dung,10m x 7.5m (không có diện tích tổng thể được cung cấp),"Đường Chế Lan Viên, Tây Thạnh, Tân Phú, cách BigC - Pandora, Đại học CNTP, Hồ Bơi, Công Viên, đường Tây Thạnh, đường Trường Chinh, khu công nghiệp Tân Bình",4,5,3 (1 trệt 2 lầu),"Khu an ninh yên tĩnh, giao thông đi lại thuận tiện, hẻm thông thoáng sạch sẽ phù hợp ở và buôn bán mọi ngành nghề",Chế Lan Viên,Tây Thạnh,Tân Phú,Không được cung cấp,Nhà trong hẻm,277571
4.X tỷ VND,53m2 (Ngang 9x6m),Hẻm Xe Hơi Đường Lê Văn Duyệt Phường 1 Bình Thạnh,6,Not mentioned,3,"Nhà mới siêu đẹp, tài lộc, sinh khí rất tốt, Pháp lý chuẩn, Hoàn công đầy đủ, tặng toàn bộ nội thất cao cấp",Lê Văn Duyệt,Phường 1,Bình Thạnh,Not mentioned,Nhà trong hẻm,277570
9.9 tỷ VND,"91m2, 4m x 22.5m","Hẻm Lê Văn Thọ, Phường 8, Gò Vấp",9,Not mentioned,5,"chợ, siêu thị, trường học",Lê Văn Thọ,Phường 8,Gò Vấp,Not mentioned,Hẻm,277569
5.x tỷ,60m2,"Nhà ở hậu hẻm ô tô 6m Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh",2,Not specified,1,"Sân đỗ xe, phòng khách, bếp",Nguyễn Hữu Cảnh,Phường 22,Bình Thạnh,Not specified,Hẻm,277619
3.5 tỷ VND,5.5x18m,Đường số 5 sát Aeon Tân Phú,Not specified,Not specified,Not specified,"Mặt tiền kinh doanh sầm uất ngày đêm, nằm cạnh Nguyễn Sơn, Aeon Tân Phú, Lê Trọng Tấn, Bình Long,…",Đường số 5,Not specified,Not specified,Not specified,Not specified,277568
9 tỷ 200 triệu VND,115m2,Đường số 8 Phường 11 Gò Vấp,2,3,3,"sân thượng, sân trước, sân bên hông nhà, để xe, trồng cây",Đường số 8,Phường 11,Gò Vấp,Not specified,Nhà trong hẻm,277615
2.25 tỷ,80 m2,"Hẻm xe tải đường Huỳnh Thị Hai, Quận 12",2,1,2,vừa ở vừa kinh doanh nhỏ lẻ hoặc mở salon tóc...,Huỳnh Thị Hai,Not provided,Quận 12,4,Nhà trong hẻm,277614
5 tỷ 1,70m2 (4.5x15.5),"Hương Lộ 2, Bình Tân",5,5,4,sân thượng lớn,Hương Lộ 2,Not provided,Bình Tân,Not provided,Hẻm 6m,277613
3 tỷ VND,"5,5*12 m2","Quận 12 (Q12), gần chợ 5p đi bộ, sát bên Bến Xe Buýt",2,2,1 trệt 1 lầu,"bếp, ban công rộng, có sân để xe rộng rãi",Not mentioned,Not mentioned,Quận 12,Not mentioned,Not mentioned,277609
3.2 tỷ VND,34m2,"Thạch Lam, Tân Phú, nằm ngay trung tâm Sài Gòn",3,2,4,"1 phòng khách, bếp",Thạch Lam,Tân Phú,Sài Gòn,3m,Nhà trong hẻm,277608
3 tỷ VND,34m2,NỞ HẬU TÀI LỘC - AN NINH,3,2,4,"1 phòng khách, bếp",Not mentioned in the text,Not mentioned in the text,Trung tâm Sài Gòn,Not mentioned in the text,"Hẻm trước nhà 3m, cách mặt tiền 50m",277601
4 tỷ,Not specified in the listing,"Phạm Văn Chiêu, Gò Vấp, Phường 14, Hồ Chí Minh City",2,2,2,"Near shopping centers, schools, supermarkets, clean and wide alley, high-density residential area, good security",Phạm Văn Chiêu,Phường 14,Gò Vấp,Not specified in the listing,Alley (hẻm),277599
3.8 tỷ VND,Not mentioned in the text,"Near Chung cư Sơn Kỳ, close to Aeon Mall",2,2,3,"Secure area, solid construction, spacious, airy balcony",Not mentioned in the text,Not mentioned in the text,Not mentioned in the text,Not mentioned in the text,Alley,277567
"3,1 tỷ VND",116m2 (8x15),"Đường 6m thông sát mặt tiền Quốc lộ 1A, Bình Hưng Hòa B, Bình Tân",Not mentioned,Not mentioned,Not mentioned,"SHR, mua bán công chứng ngay",Quốc lộ 1A,Bình Hưng Hòa B,Bình Tân,Not mentioned,Ngoài lộ,277534
4 tỷ 98,64m2,"Tân Phú, Luỹ Bán Bích, Gần mặt tiền Lũy Bán Bích, Giáp Q.11, Kề Q.6",3,Not specified,3,"Nội thất cao cấp, Sân rộng, Ban công thoáng",Luỹ Bán Bích,Not specified,Tân Phú,2,Hẻm xe hơi,277531
"3,3 tỷ VND",57m2,"Đường 4m thông sát mặt tiền Lê Văn Quới, Bình Hưng Hòa A, Bình Tân",Not specified,Not specified,Not specified,"SHR, hoàn công đủ, mua bán công chứng",Lê Văn Quới,Bình Hưng Hòa A,Bình Tân,Not specified,Not specified,277517
3.7 tỷ,Not specified in the text,"Cạnh Đại Học Công Nghệ Thực Phẩm, vài bước ra Lê Trọng Tấn",2,3,4,"Sân phơi, sân để xe",Lê Trọng Tấn,Not specified in the text,Not specified in the text,1,Not specified in the text,277516
"5,2 tỷ VND",4x18,Phường 6 Gò Vấp,4,4,Not mentioned,"Khu an ninh, dân trí, thu nhập đều","Nguyễn Thái Sơn, Phan Văn Trị",Phường 6,Gò Vấp,Not mentioned,Not mentioned,277513
3.8 tỷ VND,Not specified,Near Chung cư Sơn Kỳ and Aeon Mall,2,2,3,"Car parking, balcony, secure area",Not specified,Not specified,Not specified,Not specified,Alley,277512
7.3 tỷ VND,4x20,"Hxh Phan Văn Trị, Phường 11, Bình Thạnh",3,3,1 trệt 1 lầu,"Xe hơi thông, sân để xe rộng, an ninh",Phan Văn Trị,Phường 11,Bình Thạnh,4,Nhà trong hẻm,277510
5 tỷ đồng chút xíu,60 m2,"Đường số 1, Phường Bình Thọ, Thủ Đức",3,2,1,"Sổ hồng hoàn công đầy đủ, Nhà mới cứng, vô ở ngay",Đường số 1,Phường Bình Thọ,Thủ Đức,2,Ngoài lộ,277505
65 triệu/m2,"5x15m, 3 tầng","Lê Văn Thọ, Phường 16, Gò Vấp",3,Not mentioned,3,"Full nội thất cao cấp, sân thượng trước sau",Lê Văn Thọ,Phường 16,Gò Vấp,Not mentioned,Not mentioned,277499
16 tỷ VND,168m2 (8x21m),"Khu dân cư cao cấp KDC Khang An, Phú Hữu, Quận 9",Not specified,Not specified,"1 trệt, 2 lầu","Giao thông thuận tiện ra trung tâm quận 1, quận 2, Bình Thạnh và đi các tỉnh lân cận như: Đồng nai, vũng tàu, bình dương...",Not specified,Phú Hữu,Quận 9,8m,Not specified,277498
4 tỷ,93m2,"An Lạc, Bình Tân",Not specified,Not specified,2 tầng,"Sát mặt tiền Kinh Dương Vương, Ngay Big C, giáp Aeon Mall Tên Lửa, Chợ, Trường học, Ủy Ban Quận",Kinh Dương Vương,An Lạc,Bình Tân,Not specified,Not specified,277566
3.7 tỷ,Not specified,"Cạnh Đại Học Công Nghệ Thực Phẩm, gần Chợ, Trung tâm Ngoại Ngữ, vài bước ra Lê Trọng Tấn",2,3,4,"Sân phơi, sân để xe",Lê Trọng Tấn,Not specified,Not specified,1,Ngoài lộ,277494
100 triệu/m2 (tính toán dựa trên giá đất và giá nhà được tặng),90 m2 (tính toán dựa trên chiều ngang và chiều dài của nhà),"Mặt tiền Tô Hiệu, Tân Phú",3,1 (tính toán dựa trên số lượng phòng tắm thông thường),3,Tiện ích bao quanh đầy đủ,Tô Hiệu,Tân Phú,Tân Phú,1,Ngoài lộ,277562
4 tỉ 620 triệu VND,110m2,Cô Bắc P.1 Phú Nhuận,3,3,2,"Bếp rộng, Toalet rộng, Phòng có ban công",Phan Đình Phùng,Phường 1,Phú Nhuận,Not specified,Nhà trong hẻm,277559
"3,4 tỷ",48m2 (4x12m),"Đường Phan Anh, Bình Trị Đông, Bình Tân",Not specified,Not specified,Not specified,"Chính chủ, chưa qua đầu tư, tiện xây mới, SHR, mua bán công chứng ngay",Phan Anh,Bình Trị Đông,Bình Tân,Not specified,Ngoài lộ,277549
4 tỷ 640,5 x 8m,"Khu dân trí đường Cầm Bá Thước, P7, Phú Nhuận",4,5,"1 trệt, 1 lửng, 2 lầu + sân thượng","trường học, bệnh viện, UBND, công viên",Cầm Bá Thước,P7,Phú Nhuận,Not mentioned,Nhà trong hẻm,277548
"1,9 tỷ VND","23m2 sàn, 38m2 sổ công nhận, 19m2","Hẻm xe hơi đường 22, Phước Long B, Quận 9",2,Not mentioned,1 trệt 1 lầu,"Bếp, ban công, sân để xe",Đường 22,Phước Long B,Quận 9,Not mentioned,Nhà trong hẻm,277545
4 tỷ,93m2,"An Lạc, Bình Tân",Not specified,Not specified,2,"Near Big C, Aeon Mall Tên Lửa, market, school, district office",Kinh Dương Vương,An Lạc,Bình Tân,Not specified,Not specified,277544
16 tỷ VND,168m2 (8 x 21m),"KDC Khang An, Phú Hữu, Quận 9",Not mentioned,Not mentioned,"1 trệt 2 lầu (1 ground floor, 2 upper floors)","100% thổ cư, mái ngói, giao thông thuận tiện ra trung tâm quận 1, quận 2, Bình Thạnh và đi các tỉnh lân cận (100% residential land, tile roof, convenient transportation to District 1, District 2, Bình Thạnh, and nearby provinces)",Not mentioned,Phú Hữu,Quận 9,Not mentioned,Not mentioned,277538
7 tỷ,100m2 (5.5m x 18m),"Phường 11, Gò Vấp",Not specified,Not specified,1 Trệt 1 Lửng 2 Lầu ST,"Hẻm xe hơi, thông tứ tung",Not specified,Phường 11,Gò Vấp,Not specified,Nhà trong hẻm,277492
4 tỷ VND,3.4x12.5 m2,"Lê Văn Thọ, Gò Vấp",Not mentioned,Not mentioned,2,"An ninh tốt, yên tĩnh, sạch sẽ, gần trung tâm, chợ, trường học, siêu thị",Lê Văn Thọ,Gò Vấp,Gò Vấp,Not mentioned,Hẻm oto,277461
"3,9 tỷ VND",76m2,"Miếu Gò Xoài, Bình Hưng Hòa A, Bình Tân",3,2,1 trệt 1 lầu,"SHR, mua bán công chứng",Miếu Gò Xoài,Bình Hưng Hòa A,Bình Tân,6m,Gần mặt tiền Miếu Gò Xoài,277460
5 tỷ 6,60m2,"Hẻm xe hơi thông Tân Trụ, Phan Huy Ích, Nguyễn Phúc Chu, khu vực đáng sinh sống, Tân Bình",Not specified,Not specified,3,"sân thượng, phòng làm việc riêng biệt",Phan Huy Ích,Not specified,Tân Bình,Not specified,Nhà trong hẻm,277456
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,277454
1.89 tỷ,3.5 x 6.5 m2,"Nam Kỳ Khởi Nghĩa, Phường 7, Quận 3",Not specified,Not specified,1 trệt 1 lầu,"Sân bay 5 phút, Không huy hoạch và lộ giới",Nam Kỳ Khởi Nghĩa,Phường 7,Quận 3,Not specified,"Nhà cách hẻm xe tải tầm 20m, xe hơi trước nhà",277448
3 tỷ,"25m2 (ngang 5m, dài 5m)","Tân Kỳ Tân Qúy, Bình Tân",5,3,5,Kết cấu 5 tầng đúc 1 trệt 1 lửng 2 lầu sân thượng,Tân Kỳ Tân Qúy,Not provided,Bình Tân,Not provided,Hẻm 6m trước nhà rộng thoáng,277440
6 tỷ 68 triệu VND,4.5x18m,"Gần Aeon Tân Phú, Bình Tân, Hồ Chí Minh",Not specified,Not specified,4,"Pháp lý chuẩn, khu vực sầm uất, khu vực tiêm năng hiệu quả cao",Not specified,Not specified,Bình Tân,4.5m,Not specified,277439
Not provided in the listing,60m2,Not provided in the listing,4,4,3 (1 trệt 1 lửng 2 lầu),"Sân phơi đồ, bếp",Not provided in the listing,Not provided in the listing,Quận 10,6M,Nhà trong hẻm (house in an alley),277418
3.x tỷ VND,40m2,"Phường 3, Bình Thạnh",2,2,2,"phòng khách, bếp rộng rãi, ban công mát mẻ, gần chợ Bà Chiểu, Coopmart, BV Hoàn Mỹ, BV Bình Thạnh, UBND quận, phố ẩm thực","Lê Văn Duyệt, Phan Xích Long, Phan Đăng Lưu, Bạch Đằng, Trường Sa",Phường 3,Bình Thạnh,Not specified,Ngoài lộ,277417
"2,7 tỷ VND",3.2x11,"Gần bến xe Miền Tây- Vòng xoay Hậu Giang, đường Kinh Dương Vương, Bình Tân, gần Quận 6",4,Not specified,3,Sân thượng thoáng mát,Kinh Dương Vương,Not specified,Bình Tân,Not specified,Ngoài lộ,277410
Giá không được cung cấp trong nội dung,4 x 15 đường 5m (1 lầu),Một sẹc ngắn Huỳnh Thị Hai p.Tân Chánh Hiệp,3,2,1,"Hẻm xe hơi đậu cửa, nội thấy hoàn thiện, nước máy đầy đủ",Huỳnh Thị Hai,Tân Chánh Hiệp,Quận không được cung cấp trong nội dung,4m,Nhà trong hẻm,277491
Not provided in the text,5m x 21m,"Not provided in the text, but it is near District 12 (Giáp Q12)",Not provided in the text,Not provided in the text,Not provided in the text,Tiện ích đầy đủ không thiếu thứ gì (Full amenities without any missing features),Not provided in the text,Not provided in the text,District 12 (Giáp Q12),Not provided in the text,Nhà trong hẻm (House in an alley),277402
Hơn 2 tỷ VND,30m2,"Ni Sư Huỳnh Liên, Lạc Long Quân, Hồng Lạc",2,2,3,"Pháp lý sạch đẹp, sổ hồng riêng, hoàn công",Ni Sư Huỳnh Liên,Lạc Long Quân,Hồng Lạc,Not mentioned,Alley,277489
2.17 tỷ,55 m2,"Trục Đường thông Đỗ Xuân Hợp, Dương Đình Hội, XL HN, cao tốc Long Thành",3,2,3,"ban công thoáng mát, gần MT, dòng tiền cho thuê",Đường thông Đỗ Xuân Hợp,Dương Đình Hội,XL HN,Not mentioned,Not mentioned,277484
5.98 tỷ,8x17m,"Trần Thị Điệu Street, near Tăng Nhơn Phú",3,2,Not mentioned,"Near Công Thương School, Tăng Nhơn Phú Market, and a park",Trần Thị Điệu,Not mentioned,Not mentioned,Not mentioned,Main road,277482
7 Tỷ,100m2 (5.5m x 18m),"Phường 11, Gò Vấp",Not mentioned,Not mentioned,1 Trệt 1 Lửng 2 Lầu ST,Hẻm xe hơi thông tứ tung,Not mentioned,Phường 11,Gò Vấp,5.5m,Alley (Hẻm),277473
"4,5 tỷ VND",6*11,"Khu tên lửa sau siêu thị Aeon, Bình Trị Đông B, Bình Tân",12,Not specified,1 trệt 1 lầu,Not specified,Not specified,Bình Trị Đông B,Bình Tân,Not specified,Not specified,277468
Not provided in the text,Not provided in the text,đường Ni Sư Huỳnh Liên phường 10 quận Tân Bình,4,Not provided in the text,2,"Nhà chủ xây tâm huyết, Nội thất toàn đồ xịn, Pháp lý sạch, sổ vuông như tờ A4 cực đẹp, hoàn công đầy đủ",Ni Sư Huỳnh Liên,phường 10,quận Tân Bình,Not provided in the text,nhựa ôtô thông khắp nơi,277466
2.4 tỷ,30 m2,"Quận 12, gần cầu vượt phần mềm, trường ĐH Hoa Sen...",Not specified,Not specified,2,"Sát QL 1A, BV, trường ĐH, công an Quận 12, Shr, không mồ mả, không QH",Not specified,Not specified,Quận 12,"Ngang 5,7m Dài 5,5m",Hẻm ô tô,277463
3.1 tỷ VND,Not mentioned,"Nguyễn Minh Châu, Tân Bình",1,2,2 (trệt 1 lầu),"Bệnh Viện Tân Phú, Đại Học Văn Hiến, ngân hàng, chợ, trường học các cấp",Nguyễn Minh Châu,Not mentioned,Tân Bình,Not mentioned,Not mentioned,277394
Hơn 40 triệu/m2,"48m2, 4x12",Hẻm xe hơi Hiệp Thành,2,Not mentioned,"1 trệt, 1 lửng","Tiện ích ngập tràn, KCN Tân Thới Hiệp, chợ Hiệp Thành, Bùi Văn Ngữ, Nguyễn Ảnh Thủ",Hiệp Thành,Not mentioned,Not mentioned,Not mentioned,Nhà trong hẻm,277368
2 tỷ 69 tỷ,47m2,"Nhà Tân Thới Nhất, Hẻm xe hơi, gần mặt tiền Quốc lộ 1A",3,Not mentioned,1 trệt 1 lầu,"Gần mặt tiền Quốc lộ 1A, đi 2 căn ra hẻm xe tải tránh",Not mentioned,Not mentioned,Not mentioned,3.5m,Hẻm xe hơi,277363
3.65 tỷ VND,Not specified in the text,"Đối diện UBND Phường 14, Tân Bình, gần Chợ Võ Thành Trang",Not specified in the text,Not specified in the text,Not specified in the text,"Khu camera an ninh, dân trí cao",Not specified in the text,Phường 14,Tân Bình,Not specified in the text,Nhà trong hẻm,277361
19 tỷ,233.4m2 (6 x 18m),KDC Cao Lỗ Phường 4 Quận 8,5,3,"3 (1 trệt, 2 lầu)",Sân thượng,KDC Cao Lỗ,Phường 4,Quận 8,2,Ngoài lộ,277355
"3,45 tỷ VND","40m2 (ngang 4m, dài 10m)","Sát mặt tiền đường nhựa, hẻm 6m, ô tô vào nhà, chỉ 3,45 tỷ, Lh 0948362610. Vị trí ngay đường số 4, sát Ngã 4 Bốn Xã, Bình Hưng Hòa A, Bình Tân.",2,Not mentioned,2,"SHR không lộ giới, không quy hoạch, mua bán công chứng.",Lê Văn Quới,Bình Hưng Hòa A,Bình Tân,Not mentioned,Nhà trong hẻm,277352
1.89 tỷ VND,Not specified in the listing,Quận 3,Not specified in the listing,Not specified in the listing,Not specified in the listing,Nam Kỳ Khởi Nghĩa với Lý Chiến Thắng tuyến đường Vip,Not specified in the listing,Not specified in the listing,Quận 3,Not specified in the listing,Not specified in the listing,277349
"Not specified in the text, but it's mentioned that it's less than 40tr/m2","48m2, 4x12",Hẻm xe hơi Hiệp Thành,2,Not specified,"1 trệt, 1 lửng","Sổ hồng riêng, vuông vức, không lộ giới, quy hoạch, Tiện ích ngập tràn, ngay KCN Tân Thới Hiệp, chợ Hiệp Thành, Bùi Văn Ngữ, Nguyễn Ảnh Thủ",Hẻm xe hơi Hiệp Thành,Not specified,Not specified,Not specified,Nhà trong hẻm,277346
5.5 Tỷ VND,53.7 m2,"Hẻm trước nhà gần 5m, hẻm sau nhà 2m, cách mặt tiền đường Dạ Nam 80m, Phường 2, Quận 8",Not specified,Not specified,Not specified,"Khu dân trí cao, môi trường sống an ninh, yên tĩnh, xung quanh khu vực đầy đủ các nhu cầu thiết yếu, phục vụ cho nhu cầu sinh hoạt.",Đường Dạ Nam,Phường 2,Quận 8,Not specified,Nhà trong hẻm,277345
11 tỷ VND,90 m2 (5m x 18m),"ngay chợ Linh Trung, đường số 10, Linh Trung",7 phòng ngủ,5WC,4 tầng,"phòng khách, bếp, ban công, giếng trời",đường số 10,Linh Trung,Not mentioned,Not mentioned,Mặt tiền buôn bán,277341
7 tỷ VND,82m2,"Khu an sinh, an ninh văn minh sạch sẽ, thông thoáng. Vị trí đẹp thuận tiện di chuyển về trung tâm - Hiện trạng nhà mới đẹp vào ở ngay gần công viên, gần chung cư Novaland, Thạch Lam, gần chợ Hiệp Tân, trường học, siêu thị Coopmart..Lũy Bán Bích",3,3,3,"Gần công viên, gần chung cư Novaland, Thạch Lam, gần chợ Hiệp Tân, trường học, siêu thị Coopmart..Lũy Bán Bích",Not mentioned,Not mentioned,Not mentioned,4,Hẻm,277339
5 tỷ 1.Tl manh,4x19m,Nhà Bình tân gần Aeon Tân Phú,4PN,wc,4 tầng,Ban công thoáng,"Lê Trong Tấn, Tân Quý, Tân Hương",Giáp Tây Phú,Bình Tân,Not specified,"Nhà trong hẻm xe tải, gần mặt tiền đường",277391
"4,2 tỷ VND","4,6x10","Võ Duy Ninh, Phường 22, Bình Thạnh",2,2,1,"Nằm gần Trường học các cấp, gần chợ, Nguyễn Hữu Cảnh, Ngô Tất Tố, Quận 1, Khu vực an ninh yên tĩnh, dân trí cao",Võ Duy Ninh,Phường 22,Bình Thạnh,Not mentioned,Not mentioned,277337
5.2 tỷ,"88m2, 4 x 22m","Lê Đình Cẩn, Tân Tạo, BT",3,2,3,"Có nhiều Cty, kho hàng kinh doanh, tiện ích xung quanh đầy đủ",Lê Đình Cẩn,Tân Tạo,BT (Bình Tân),7m,Hẻm nhựa,277389
5 tỉ,Not mentioned in the text,"Vị trí trung tâm Quận 10, giáp Tân Bình, Quận 3, Quận 1, gần công viên Lê Thị Riêng",2,3,"1 trệt, 2 lầu","Hiện trạng 1 trệt, 2 lầu, gồm: Phòng khách, Bếp, ban công rộng rãi thoáng mát đón gió trời. Nhà còn mới đẹp chỉ việc dọn về ở ngay. GPXD có thể lên thêm 1 tầng. + Hẻm xe hơi đỗ cửa, khu dân trí tốt, an ninh. + Pháp lý chuẩn, hoàn công đầy đủ.",Not mentioned in the text,Not mentioned in the text,"Quận 10, Tân Bình, Quận 3, Quận 1",Not mentioned in the text,Not mentioned in the text,277388
4 tỷ VND,72m2,Gần Nguyễn Ảnh Thủ,Not specified,Not specified,4,"Mái BTCT, hẻm Xe hơi, Sổ gửi bank",Nguyễn Ảnh Thủ,Not specified,Not specified,50M,Nhà trong hẻm,277386
8 tỷ VND,4x14,"Hẻm 6m Đinh Tiên Hoàng, Phường 3, Bình Thạnh",5,7,4,"an ninh, sân thượng",Đinh Tiên Hoàng,Phường 3,Bình Thạnh,4,Nhà trong hẻm,277383
7.5 tỷ VND,"80m2, 4*20m vuông vức",Lô góc ko lộ giới- Thông Lê Thúc Hoạch Tân Phú – Ngay ngã 3 Lê Thúc Hoạch – Bình Long,5,5,3,"Trường học các cấp, Aeon Mall, bệnh viện",Lê Thúc Hoạch,Bình Long,Tân Phú,2,Nhà trong hẻm,277381
9 tỷ VND,53m2 ( ngang 4 x dài 13m ),Hẻm Xe Hơi Ngủ Trong Nhà Đường Thích Quảng Đức Phường 5 Phú Nhuận,4,4,4,"Phòng thờ, sân thượng",Đường Thích Quảng Đức,Phường 5,Phú Nhuận,10m,Nhà trong hẻm,277370
5.8 tỷ VND,5.7 x 15.5 m2 (plus an additional 2-bedroom unit),"Đường 13 Linh Xuân, Thủ Đức",2,2,1T + 1L,"Gần Trường học các cấp, Bệnh viện, Chợ, Ngân hàng, Cầu vượt Linh Xuân",Đường 13 Linh Xuân,Linh Xuân,Thủ Đức,Not mentioned,Hẻm hông,277369
10.99 tỷ VND,50m2,"Thống Nhất Street, Ward 11, Gò Vấp District",4,5,6,"Garage, spacious living room, kitchen, 4 bedrooms, 5 bathrooms, steam room",Thống Nhất,Ward 11,Gò Vấp,4x12.5m,Not specified,284268
4 tỷ VND,5 x 18.6 (m2),"Gần Ngô Chí Quốc, Bình Chiểu",Not specified,Not specified,Not specified,"Sổ Hồng riêng, Giao dịch Ngay",Not specified,Bình Chiểu,Not specified,1,Main road,284226
15 tỷ VND,160 m2,"Kế mặt tiền Lê Thúc Hoạch, Tân Phú",Not specified,Not specified,3,"Khu vip, kinh doanh, an ninh, yên tĩnh",Lê Thúc Hoạch,Not specified,Tân Phú,8m,"Nhà kế mặt tiền, hẻm nhựa thông",284225
16 tỷ (thương lượng),"93 m² thổ cư. Ngang  4m x 23.4m, dtsd 357,06 m²","P. Trường Thọ, Thủ Đức",4,6,5,"Hầm để xe, sân trước để được 20 xe máy, PK, Phòng ăn, Bếp, giếng trời, hòn non bộ, Phòng Karaoke, Phòng thờ, Phòng giặt, WC, Sân thượng trước sau",Not mentioned,Trường Thọ,Thủ Đức,Not mentioned,Not mentioned,284224
4 tỷ,56m2,"Lạc Long Quân, Tân Bình",Not specified,Not specified,Not specified,"Near schools, offices, Lý Thường Kiệt, easy access to Q10, Bắc Hải",Lạc Long Quân,Not specified,Tân Bình,4m,Not specified,284206
"14,9 tỷ VND",5 x 20m,đường 1C khu Tên Lửa,15,Not mentioned,"1 trệt, 4 lầu","Sân để xe, quầy tiếp tân, phòng nhân viên, bếp, phòng giặt, sân phơi, Máy nóng năng lượng",1C,Not mentioned,Not mentioned,Not mentioned,Not mentioned,284204
3.15 tỷ VND,89m2 (5m x 19m),"Đông Lân, Bà Điểm, Hóc Môn, Hẻm 6m",2,1,1,"Trường Học Mẫu Giáo, Cấp 1, 2, 3, Trường Chuyên, Đại Học Xã Hội, Siêu Thị Mini, Chợ, Uỷ Ban, Khu Vui Chơi Giải Trí, Bệnh Viện",Not explicitly mentioned,Bà Điểm,Hóc Môn,Not explicitly mentioned,Nhà trong hẻm,284203
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,284201
6 tỷ 9,82m2,"Bạch Đằng, Bình Thạnh",3,Not mentioned,3,"Near Ngã Tư Hàng Xanh, near large universities, fully equipped",Bạch Đằng,Not mentioned,Bình Thạnh,4m,Not mentioned,284198
"8,5 tỷ",58m2,"Huỳnh Văn Bánh, F11, Phú Nhuận (cách mặt tiền 120m)",5,Not specified,4,"bệnh viện, chợ, siêu thị, cây xăng, ngân hàng, cafe, hàng quán,...",Huỳnh Văn Bánh,Phú Nhuận,Quận Phú Nhuận,Not specified,Nhà trong hẻm,284197
2.8 tỷ VND,"42m2, 4m x 10.5m","Phạm Văn Chiêu, P14, Gò Vấp",2,2,2,"phòng khách, bếp",Phạm Văn Chiêu,P14,Gò Vấp,HXH 1 sẹc,nhà trong hẻm,284196
4 tỷ VND,55m2,"Ngã tư Hồng Lạc và Lạc Long Quân, Tân Bình, Quận 10",4,3,4,"Ban công, giếng trời, phòng thờ",Lạc Long Quân,Tân Bình,Quận 10,Not specified,Hẻm xe hơi trước nhà,284267
5.x tỷ VND,45m2 (4 x 11m),"Đường Xe Tải 6m Hoàng Hoa Thám, Phường 6, Bình Thạnh",4,5,4,"Bếp, ban công rộng rãi, đường xe tải quay đầu, sạch đẹp, gần chợ Cây Quéo, BV Gia Định, UBND quận, công an phường",Hoàng Hoa Thám,Phường 6,Bình Thạnh,Not specified,Main road,284191
5.2 tỷ VND,80m2 (5x16),"Phường 16, Gò Vấp, Hồ Chí Minh City",3,2,2,"1 living room, 1 prayer room, 1 basement bedroom",Đường số 1 (Thống Nhất cũ),Phường 16,Gò Vấp,5m,Nhà trong hẻm,284248
4 tỷ,56m2 ( 4x14 ),"Hẻm xe hơi trước nhà, gần mặt tiền, ngã tư Hồng Lạc, chợ Tân Bình, Bệnh Viện Thống Nhất, quận 10",4,3,4,"phòng thờ, ban công thoáng mát",Hẻm xe hơi,Tân Bình,Quận 10,Not specified,Nhà trong hẻm,284247
5.7 tỷ VND,Hẻm 6m,"Gần Chợ Sơn Kỳ, đối diện Aeon Mall Tân Phú",Not mentioned,Not mentioned,2,"Sân để ô tô, khu ở yên tĩnh, an ninh",Not mentioned,Not mentioned,Tân Phú,2,Nhà trong hẻm,284246
5.2 tỷ VND,80 m2 (5x16),"Phường 16, Gò Vấp",3,2,2,"1 trệt 1 lửng BTCT, 1 Phòng Thờ",Đường số 1 (Thống Nhất cũ),Phường 16,Gò Vấp,1,Nhà trong hẻm,284245
5.2 tỷ,80m2 (5x16),"Phường 16, Gò Vấp",2,2,2,"1 trệt 1 lửng BTCT kiên cố, 1 phòng thờ, 1 phòng ngủ dưới trệt",Đường số 1 (Thống Nhất cũ),Phường 16,Gò Vấp,5m,Nhà trong hẻm,284244
4.5 tỷ VND,42m2,HXH 1 sẹc Đường số 3 Phường 9 Quận Gò Vấp,2,2,3,"Hẻm an ninh, yên tĩnh, thẳng 1 trục. Sổ hồng hoàn công đủ, công nhận đủ.",Đường số 3,Phường 9,Quận Gò Vấp,4,Nhà trong hẻm,284237
